semana;fecha_lunes;solucion;longitud;letras_distintas;dificultad;categoria;intentos;pista_1;pista_2;pista_3;explicacion
1;2026-08-24;VALLA;5;3;facil;Material;6;Se salta, pero no es un salto;Hay diez en las pruebas de 110 y 400;Si la derribas no te descalifican, pero pierdes tiempo;Obstáculo de altura reglamentada según prueba y categoría.
2;2026-08-31;TESTIGO;7;6;facil;Material;6;Solo aparece en una familia de pruebas;Cambia de manos cuatro veces por carrera;Se pasa dentro de una zona de 30 metros;El tubo del relevo: mínimo 50 g y de 28 a 30 cm.
3;2026-09-07;META;4;4;facil;Instalaciones;6;Todo el mundo quiere llegar ahí;Está donde acaba la carrera;Sobre ella pasa la línea que detiene el crono;"La llegada; el tiempo se toma cuando el torso la cruza."
4;2026-09-14;TARTAN;6;4;facil;Instalaciones;6;Es una superficie;Suele ser rojiza y sintética;Una marca comercial convertida en nombre común;El pavimento sintético habitual de las pistas.
5;2026-09-21;PERTIGA;7;7;media;Pruebas;6;Prueba de saltos;Se salta con ayuda de un implemento largo y flexible;Antes del vuelo hay que clavarla en un cajetín;Salto con pértiga: el implemento da nombre a la prueba.
6;2026-09-28;PODIO;5;4;facil;Competición;6;Aparece al final del día;Tiene tres alturas;Solo lo pisan tres de cada prueba;El cajón de los tres primeros clasificados.
7;2026-10-05;MARATON;7;6;facil;Pruebas;6;Se corre fuera de la pista;Dura horas, no minutos;Mide 42,195 km;La prueba de ruta más larga del programa olímpico.
8;2026-10-12;CLAVOS;6;6;facil;Material;6;Van en los pies;Se atornillan y se cambian;Su longitud máxima la fija el reglamento;Las puntas metálicas de las zapatillas de competición.
9;2026-10-19;LIEBRE;6;5;media;Cultura;6;Es una persona, no un animal;Corre para que otros corran mejor;Casi nunca acaba la carrera;"El atleta que marca el ritmo y se retira; en inglés, pacer."
10;2026-10-26;JABALINA;8;6;media;Pruebas;6;Prueba de lanzamientos;El único implemento que se lanza corriendo;Pesa 800 g en categoría masculina y 600 g en femenina;Lanzamiento de jabalina, desde un pasillo y no desde un círculo.
11;2026-11-02;SALIDA;6;5;facil;Competición;6;Es un momento, no un lugar;Puede ser nula;Los tacos solo sirven para esto;"El arranque de la carrera; por debajo de 0,100 s de reacción, nula."
12;2026-11-09;LISTON;6;6;media;Material;6;Aparece en dos pruebas;Se apoya sobre dos soportes;Si lo tiras, es nulo;La barra que hay que superar en altura y pértiga.
13;2026-11-16;RELEVO;6;5;facil;Pruebas;6;Es cosa de equipo;Cuatro atletas, una carrera;Sin él no hay 4x100;Prueba por equipos con entrega de testigo.
14;2026-11-23;MARCHA;6;5;facil;Modalidades;6;Se avanza rápido pero sin correr;Tiene jueces que miran las rodillas;Exige contacto visible permanente con el suelo;La marcha atlética, con pruebas de 20 y 35 km.
15;2026-11-30;CAJETIN;7;7;dificil;Instalaciones;6;Es un hueco en el suelo;Está al final de un pasillo;Solo lo usa una prueba de saltos;El encaje donde se clava la pértiga para el batido.
16;2026-12-07;DORSAL;6;6;facil;Competición;6;Se lleva puesto;Lleva un número;Sin él no puedes competir;El número identificativo del atleta en competición.
17;2026-12-14;VIENTO;6;6;media;Reglamento;6;No se toca pero se mide;Puede invalidar una marca;El límite legal es +2,0 m/s;Se mide con anemómetro en velocidad, vallas cortas y saltos horizontales.
18;2026-12-21;CROSS;5;4;facil;Modalidades;6;No se corre en pista;Hay barro, hierba y cuestas;Su temporada es el invierno;El campo a través, sobre terreno natural.
19;2026-12-28;ZANCADA;7;5;media;Técnica;6;Se cuenta y se mide;Cada corredor tiene la suya;Amplitud por frecuencia da la velocidad;El paso de carrera: su amplitud y su frecuencia definen el ritmo.
